match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by,year,custom_match_id
20181103-M-Paris_Masters-SF-Novak_Djokovic-Roger_Federer,Novak Djokovic,Roger Federer,R,R,M,20181103,Paris Masters,SF,17:45,Centre,Hard,Carlos Bernardes,3,1,Palaver,2018,2018_Paris Masters_Novak Djokovic_Roger Federer
20180819-M-Cincinnati_Masters-F-Roger_Federer-Novak_Djokovic,Roger Federer,Novak Djokovic,R,R,M,20180819,Cincinnati Masters,F,16:45,Center,Hard,Damien Dumusois,3,1,Palaver,2018,2018_Cincinnati Masters_Novak Djokovic_Roger Federer
20160128-M-Australian_Open-SF-Novak_Djokovic-Roger_Federer,Novak Djokovic,Roger Federer,R,R,M,20160128,Australian Open,SF,,Rod Laver Arena,Hard,,5,0,Edged,2016,2016_Australian Open_Novak Djokovic_Roger Federer
20151122-M-Tour_Finals-F-Roger_Federer-Novak_Djokovic,Roger Federer,Novak Djokovic,R,R,M,20151122,Tour Finals,F,,,Hard,,3,1,Amy,2015,2015_Tour Finals_Novak Djokovic_Roger Federer
20151117-M-Tour_Finals-RR-Roger_Federer-Novak_Djokovic,Roger Federer,Novak Djokovic,R,R,M,20151117,Tour Finals,RR,21:10,Centre,Hard,Mohamed Lahyani,3,1,Edo,2015,2015_Tour Finals_Novak Djokovic_Roger Federer
20150913-M-US_Open-F-Roger_Federer-Novak_Djokovic,Roger Federer,Novak Djokovic,R,R,M,20150913,US Open,F,20:00:00,Arthur Ashe,Hard,Eva Asderaki-Moore,5,1,Edo,2015,2015_US Open_Novak Djokovic_Roger Federer
20150823-M-Cincinnati_Masters-F-Novak_Djokovic-Roger_Federer,Novak Djokovic,Roger Federer,R,R,M,20150823,Cincinnati Masters,F,13:10,Center,Hard,Mohamed Lahyani,3,1,Isaac,2015,2015_Cincinnati Masters_Novak Djokovic_Roger Federer
20150712-M-Wimbledon-F-Roger_Federer-Novak_Djokovic,Roger Federer,Novak Djokovic,R,R,M,20150712,Wimbledon,F,14:10,Centre,Grass,Ali Nili,5,0,Edo,2015,2015_Wimbledon_Novak Djokovic_Roger Federer
20150517-M-Rome_Masters-F-Novak_Djokovic-Roger_Federer,Novak Djokovic,Roger Federer,R,R,M,20150517,Rome Masters,F,,Centre,Clay,Damian Steiner,3,1,Aaron Chiu,2015,2015_Rome Masters_Novak Djokovic_Roger Federer
20150322-M-Indian_Wells_Masters-F-Novak_Djokovic-Roger_Federer,Novak Djokovic,Roger Federer,R,R,M,20150322,Indian Wells Masters,F,,Center,Hard,,3,1,camyu19,2015,2015_Indian Wells Masters_Novak Djokovic_Roger Federer
