tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,Novak Djokovic_wins,year,custom_match_id
2006-1536,Madrid Masters,Hard,48,M,20061016,38,104925,15.0,,Novak Djokovic,R,188.0,SRB,19.4,104918,,,Andy Murray,R,190.0,GBR,19.4,1-6 7-5 6-3,3,R16,131.0,3.0,3.0,90.0,49.0,35.0,21.0,14.0,4.0,7.0,5.0,2.0,86.0,39.0,27.0,27.0,14.0,3.0,6.0,17.0,1360.0,19.0,1295.0,1,2006,2006_Madrid Masters_R16_Andy Murray_Novak Djokovic
2007-403,Miami Masters,Hard,96,M,20070319,94,104925,10.0,,Novak Djokovic,R,188.0,SRB,19.8,104918,12.0,,Andy Murray,R,190.0,GBR,19.8,6-1 6-0,3,SF,63.0,2.0,2.0,42.0,28.0,20.0,10.0,7.0,3.0,3.0,1.0,5.0,44.0,18.0,10.0,8.0,6.0,4.0,9.0,10.0,2060.0,12.0,1905.0,1,2007,2007_Miami Masters_SF_Andy Murray_Novak Djokovic
2007-404,Indian Wells Masters,Hard,96,M,20070305,93,104925,12.0,,Novak Djokovic,R,188.0,SRB,19.7,104918,13.0,,Andy Murray,R,190.0,GBR,19.8,6-2 6-3,3,SF,63.0,3.0,0.0,42.0,24.0,20.0,11.0,8.0,2.0,3.0,3.0,0.0,46.0,24.0,12.0,12.0,9.0,3.0,8.0,13.0,1715.0,14.0,1700.0,1,2007,2007_Indian Wells Masters_SF_Andy Murray_Novak Djokovic
2008-410,Monte Carlo Masters,Clay,56,M,20080420,43,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.9,104918,14.0,,Andy Murray,R,190.0,GBR,20.9,6-0 6-4,3,R16,78.0,0.0,0.0,45.0,20.0,14.0,17.0,8.0,4.0,5.0,3.0,5.0,60.0,25.0,14.0,14.0,8.0,5.0,10.0,3.0,4725.0,20.0,1330.0,1,2008,2008_Monte Carlo Masters_R16_Andy Murray_Novak Djokovic
2008-421,Canada Masters,Hard,56,M,20080721,51,104918,8.0,,Andy Murray,R,190.0,GBR,21.1,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.1,6-3 7-6(3),3,QF,105.0,2.0,0.0,73.0,30.0,21.0,27.0,11.0,3.0,5.0,3.0,2.0,64.0,39.0,26.0,12.0,10.0,3.0,6.0,9.0,1730.0,3.0,4945.0,0,2008,2008_Canada Masters_QF_Andy Murray_Novak Djokovic
2008-422,Cincinnati Masters,Hard,56,M,20080728,55,104918,8.0,,Andy Murray,R,190.0,GBR,21.2,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.1,7-6(4) 7-6(5),3,F,143.0,1.0,2.0,88.0,46.0,32.0,26.0,12.0,3.0,5.0,6.0,6.0,96.0,55.0,36.0,21.0,12.0,2.0,4.0,9.0,1835.0,3.0,5055.0,0,2008,2008_Cincinnati Masters_F_Andy Murray_Novak Djokovic
2009-403,Miami Masters,Hard,96,M,20090325,95,104918,4.0,,Andy Murray,R,190.0,GBR,21.8,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.8,6-2 7-5,3,F,103.0,8.0,0.0,61.0,36.0,27.0,13.0,10.0,3.0,5.0,2.0,5.0,73.0,45.0,24.0,12.0,10.0,6.0,11.0,4.0,7850.0,3.0,8420.0,0,2009,2009_Miami Masters_F_Andy Murray_Novak Djokovic
2011-580,Australian Open,Hard,128,G,20110117,127,104925,3.0,,Novak Djokovic,R,188.0,SRB,23.6,104918,5.0,,Andy Murray,R,190.0,GBR,23.6,6-4 6-2 6-3,5,F,159.0,5.0,0.0,75.0,48.0,35.0,15.0,14.0,1.0,4.0,6.0,4.0,109.0,59.0,37.0,16.0,13.0,11.0,18.0,3.0,6240.0,5.0,5760.0,1,2011,2011_Australian Open_F_Andy Murray_Novak Djokovic
2011-416,Rome Masters,Clay,56,M,20110508,54,104925,2.0,,Novak Djokovic,R,188.0,SRB,23.9,104918,4.0,,Andy Murray,R,190.0,GBR,23.9,6-1 3-6 7-6(2),3,SF,182.0,4.0,2.0,96.0,66.0,44.0,14.0,14.0,5.0,10.0,6.0,4.0,98.0,62.0,40.0,13.0,14.0,7.0,13.0,2.0,10665.0,4.0,5905.0,1,2011,2011_Rome Masters_SF_Andy Murray_Novak Djokovic
2011-422,Cincinnati Masters,Hard,56,M,20110814,55,104918,4.0,,Andy Murray,R,190.0,GBR,24.2,104925,1.0,,Novak Djokovic,R,188.0,SRB,24.2,6-4 3-0 RET,3,F,72.0,1.0,0.0,34.0,19.0,16.0,8.0,6.0,1.0,2.0,0.0,1.0,50.0,33.0,18.0,5.0,7.0,2.0,6.0,4.0,5715.0,1.0,13500.0,0,2011,2011_Cincinnati Masters_F_Andy Murray_Novak Djokovic
